arm,x_Ez_m,z_Ez_m,Ez_real,Ez_imag,x_Hy_m,z_Hy_m,Hy_real,Hy_imag
baseline,0.045,0.0032500000000000003,2.1105572e-12,-5.4789706e-12,0.04525,0.00275,-4.9453913e-15,1.4720508e-14
baseline,0.0455,0.0032500000000000003,1.647191e-12,-5.6453587e-12,0.04575,0.00275,-3.6806025e-15,1.5056793e-14
baseline,0.046,0.0032500000000000003,1.1723677e-12,-5.7718786e-12,0.04625,0.00275,-2.390118e-15,1.528677e-14
baseline,0.0465,0.0032500000000000003,6.893883e-13,-5.8576442e-12,0.04675,0.00275,-1.0832014e-15,1.540886e-14
baseline,0.047,0.0032500000000000003,2.0171271e-13,-5.902081e-12,0.04725,0.00275,2.31043e-16,1.5422254e-14
baseline,0.0475,0.0032500000000000003,-2.8727566e-13,-5.9048482e-12,0.04775,0.00275,1.5432639e-15,1.5326855e-14
baseline,0.048,0.0032500000000000003,-7.740652e-13,-5.865975e-12,0.04825,0.00275,2.8442733e-15,1.5123402e-14
baseline,0.0485,0.0032500000000000003,-1.2552905e-12,-5.785736e-12,0.04875,0.00275,4.1248154e-15,1.4813337e-14
baseline,0.049,0.0032500000000000003,-1.7274844e-12,-5.664736e-12,0.04925,0.00275,5.3759902e-15,1.4398806e-14
baseline,0.0495,0.0032500000000000003,-2.1874007e-12,-5.5037884e-12,0.04975,0.00275,6.588871e-15,1.388289e-14
baseline,0.05,0.0032500000000000003,-2.6317338e-12,-5.304061e-12,0.05025,0.00275,7.754933e-15,1.326917e-14
baseline,0.0505,0.0032500000000000003,-3.0574035e-12,-5.0669868e-12,0.05075,0.00275,8.866049e-15,1.256204e-14
baseline,0.051000000000000004,0.0032500000000000003,-3.4613655e-12,-4.794251e-12,0.051250000000000004,0.00275,9.914306e-15,1.1766507e-14
baseline,0.051500000000000004,0.0032500000000000003,-3.840834e-12,-4.4877656e-12,0.051750000000000004,0.00275,1.0892347e-14,1.0888174e-14
baseline,0.052000000000000005,0.0032500000000000003,-4.1930604e-12,-4.1497235e-12,0.052250000000000005,0.00275,1.17933515e-14,9.93332e-15
baseline,0.0525,0.0032500000000000003,-4.515674e-12,-3.7824717e-12,0.05275,0.00275,1.2610943e-14,8.90862e-15
baseline,0.053,0.0032500000000000003,-4.806307e-12,-3.3886598e-12,0.05325,0.00275,1.3339356e-14,7.821388e-15
baseline,0.0535,0.0032500000000000003,-5.063002e-12,-2.9710527e-12,0.05375,0.00275,1.3973517e-14,6.6793325e-15
baseline,0.054,0.0032500000000000003,-5.283876e-12,-2.532612e-12,0.05425,0.00275,1.4508909e-14,5.490428e-15
baseline,0.0545,0.0032500000000000003,-5.467476e-12,-2.0764096e-12,0.05475,0.00275,1.4941936e-14,4.26312e-15
baseline,0.055,0.0032500000000000003,-5.6124476e-12,-1.6056867e-12,0.05525,0.00275,1.526944e-14,3.0060816e-15
baseline,0.0555,0.0032500000000000003,-5.7177934e-12,-1.1237611e-12,0.05575,0.00275,1.5489199e-14,1.7281773e-15
baseline,0.056,0.0032500000000000003,-5.782813e-12,-6.340313e-13,0.05625,0.00275,1.5599631e-14,4.3842155e-16
baseline,0.0565,0.0032500000000000003,-5.8070024e-12,-1.3995726e-13,0.05675,0.00275,1.560004e-14,-8.540817e-16
baseline,0.057,0.0032500000000000003,-5.7902775e-12,3.5497798e-13,0.05725,0.00275,1.5490406e-14,-2.140241e-15
baseline,0.0575,0.0032500000000000003,-5.732696e-12,8.4728817e-13,0.05775,0.00275,1.5271636e-14,-3.4109392e-15
baseline,0.058,0.0032500000000000003,-5.6347093e-12,1.3334974e-12,0.05825,0.00275,1.4945188e-14,-4.657268e-15
baseline,0.0585,0.0032500000000000003,-5.4970134e-12,1.8101871e-12,0.058750000000000004,0.00275,1.4513513e-14,-5.870427e-15
