        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +8.586865385607e+00,        +4.504165278495e-01,        +9.545242949856e+00,        +1.326293764375e-09,        +8.473726436247e-06
 2.00e+00,        +9.782733447824e+00,        +3.732628506166e-01,        +1.311388451130e+01,        +1.569064572216e-09,        +1.003345822495e-05
 3.00e+00,        +1.100198033754e+01,        +6.867866526155e+00,        +9.442251490466e-01,        +2.086106118144e-08,        +1.337365748521e-04
 4.00e+00,        +1.109381534027e+01,        +7.055900273202e+00,        +9.316716909617e-01,        +1.687841053089e-08,        +1.082209941074e-04
 5.00e+00,        +1.127184990885e+01,        +7.217520609331e-02,        +7.808831862425e+01,        +2.751587670865e-09,        +1.761526796277e-05
 6.00e+00,        +1.275146051409e+01,        +4.777258897351e+00,        +1.425186814983e+00,        +2.329397932720e-08,        +1.494171516819e-04
 7.00e+00,        +1.400134541514e+01,        +5.024685331923e-01,        +1.394152834763e+01,        +5.273724682623e-09,        +3.383957264750e-05
