        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 4.20000000e+00,        +7.071067811865e+00,        +4.168744563979e+00,        +3.067604305857e+00,        +1.556552282722e+00,        -3.847192049114e-01
 4.25000000e+00,        +7.071067811865e+00,        +4.267831968811e+00,        +3.003196420509e+00,        +1.612631086003e+00,        -4.608986205577e-01
 4.30000000e+00,        +7.071067811865e+00,        +4.357945222422e+00,        +2.938642185815e+00,        +1.659864694573e+00,        -5.366147504101e-01
 4.35000000e+00,        +7.071067811865e+00,        +4.440044341842e+00,        +2.874500555817e+00,        +1.699221652013e+00,        -6.113170817985e-01
 4.40000000e+00,        +7.071067811865e+00,        +4.514997805933e+00,        +2.811172688811e+00,        +1.731578656186e+00,        -6.846129726277e-01
 4.45000000e+00,        +7.071067811865e+00,        +4.583583360060e+00,        +2.748937963307e+00,        +1.757721366283e+00,        -7.562316224436e-01
 4.50000000e+00,        +7.071067811865e+00,        +4.646492500601e+00,        +2.687982610297e+00,        +1.778348890695e+00,        -8.259954281051e-01
 4.55000000e+00,        +7.071067811865e+00,        +4.704336930379e+00,        +2.628422236210e+00,        +1.794080246537e+00,        -8.937974496630e-01
 4.60000000e+00,        +7.071067811865e+00,        +4.757655874629e+00,        +2.570319396292e+00,        +1.805461680210e+00,        -9.595838266193e-01
 4.65000000e+00,        +7.071067811865e+00,        +4.806923561453e+00,        +2.513697217133e+00,        +1.812974152839e+00,        -1.023340145790e+00
 4.70000000e+00,        +7.071067811865e+00,        +4.852556451079e+00,        +2.458549899051e+00,        +1.817040574780e+00,        -1.085080929980e+00
 4.75000000e+00,        +7.071067811865e+00,        +4.894919983594e+00,        +2.404850773592e+00,        +1.818032558787e+00,        -1.144841572149e+00
 4.80000000e+00,        +7.071067811865e+00,        +4.934334734477e+00,        +2.352558456358e+00,        +1.816276581131e+00,        -1.202672174808e+00
 4.85000000e+00,        +7.071067811865e+00,        +4.971081942249e+00,        +2.301621522532e+00,        +1.812059514908e+00,        -1.258632867214e+00
 4.90000000e+00,        +7.071067811865e+00,        +5.005408417709e+00,        +2.251982040536e+00,        +1.805633545030e+00,        -1.312790264904e+00
 4.95000000e+00,        +7.071067811865e+00,        +5.037530869849e+00,        +2.203578225566e+00,        +1.797220499911e+00,        -1.365214809767e+00
 5.00000000e+00,        +7.071067811865e+00,        +5.067639696505e+00,        +2.156346416455e+00,        +1.787015647929e+00,        -1.415978787188e+00
 5.05000000e+00,        +7.071067811865e+00,        +5.095902292940e+00,        +2.110222533524e+00,        +1.775191011825e+00,        -1.465154862577e+00
 5.10000000e+00,        +7.071067811865e+00,        +5.122465931822e+00,        +2.065143139324e+00,        +1.761898254504e+00,        -1.512815015343e+00
 5.15000000e+00,        +7.071067811865e+00,        +5.147460265657e+00,        +2.021046196429e+00,        +1.747271187269e+00,        -1.559029776160e+00
 5.20000000e+00,        +7.071067811865e+00,        +5.170999498764e+00,        +1.977871594860e+00,        +1.731427947594e+00,        -1.603867694890e+00
 5.25000000e+00,        +7.071067811865e+00,        +5.193184271378e+00,        +1.935561505118e+00,        +1.714472888984e+00,        -1.647394983215e+00
 5.30000000e+00,        +7.071067811865e+00,        +5.214103293755e+00,        +1.894060599861e+00,        +1.696498220818e+00,        -1.689675288886e+00
 5.35000000e+00,        +7.071067811865e+00,        +5.233834763632e+00,        +1.853316177372e+00,        +1.677585431503e+00,        -1.730769568457e+00
