        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 5.40000000e+00,        +7.071067811865e+00,        +5.252447596189e+00,        +1.813278212269e+00,        +1.657806524082e+00,        -1.770736033036e+00
 5.45000000e+00,        +7.071067811865e+00,        +5.270002491822e+00,        +1.773899352974e+00,        +1.637225089612e+00,        -1.809630147511e+00
 5.50000000e+00,        +7.071067811865e+00,        +5.286552863654e+00,        +1.735134880908e+00,        +1.615897240222e+00,        -1.847504668298e+00
 5.55000000e+00,        +7.071067811865e+00,        +5.302145643673e+00,        +1.696942642838e+00,        +1.593872420743e+00,        -1.884409708155e+00
 5.60000000e+00,        +7.071067811865e+00,        +5.316821983814e+00,        +1.659282965090e+00,        +1.571194115213e+00,        -1.920392819343e+00
 5.65000000e+00,        +7.071067811865e+00,        +5.330617865951e+00,        +1.622118556240e+00,        +1.547900462236e+00,        -1.955499088526e+00
 5.70000000e+00,        +7.071067811865e+00,        +5.343564632879e+00,        +1.585414403279e+00,        +1.524024791249e+00,        -1.989771238387e+00
 5.75000000e+00,        +7.071067811865e+00,        +5.355689450593e+00,        +1.549137665011e+00,        +1.499596090025e+00,        -2.023249732204e+00
 5.80000000e+00,        +7.071067811865e+00,        +5.367015710770e+00,        +1.513257565490e+00,        +1.474639412300e+00,        -2.055972878574e+00
 5.85000000e+00,        +7.071067811865e+00,        +5.377563381077e+00,        +1.477745289558e+00,        +1.449176233134e+00,        -2.087976934201e+00
 5.90000000e+00,        +7.071067811865e+00,        +5.387349309850e+00,        +1.442573882008e+00,        +1.423224758586e+00,        -2.119296203244e+00
 5.95000000e+00,        +7.071067811865e+00,        +5.396387490801e+00,        +1.407718151456e+00,        +1.396800195311e+00,        -2.149963132090e+00
 6.00000000e+00,        +7.071067811865e+00,        +5.404689292569e+00,        +1.373154579709e+00,        +1.369914984930e+00,        -2.180008398815e+00
 6.05000000e+00,        +7.071067811865e+00,        +5.412263657305e+00,        +1.338861237154e+00,        +1.342579007338e+00,        -2.209460996742e+00
 6.10000000e+00,        +7.071067811865e+00,        +5.419117271845e+00,        +1.304817704548e+00,        +1.314799756519e+00,        -2.238348311760e+00
 6.15000000e+00,        +7.071067811865e+00,        +5.425254714577e+00,        +1.271005001441e+00,        +1.286582491957e+00,        -2.266696193126e+00
 6.20000000e+00,        +7.071067811865e+00,        +5.430678580626e+00,        +1.237405521404e+00,        +1.257930368282e+00,        -2.294529017601e+00
 6.25000000e+00,        +7.071067811865e+00,        +5.435389587648e+00,        +1.204002974160e+00,        +1.228844545425e+00,        -2.321869746794e+00
 6.30000000e+00,        +7.071067811865e+00,        +5.439386664171e+00,        +1.170782334704e+00,        +1.199324281235e+00,        -2.348739977640e+00
 6.35000000e+00,        +7.071067811865e+00,        +5.442667022171e+00,        +1.137729799478e+00,        +1.169367008234e+00,        -2.375159985925e+00
 6.40000000e+00,        +7.071067811865e+00,        +5.445226215305e+00,        +1.104832749684e+00,        +1.138968395937e+00,        -2.401148762782e+00
 6.45000000e+00,        +7.071067811865e+00,        +5.447058184031e+00,        +1.072079721827e+00,        +1.108122399959e+00,        -2.426724044043e+00
 6.50000000e+00,        +7.071067811865e+00,        +5.448155288648e+00,        +1.039460385632e+00,        +1.076821298966e+00,        -2.451902332325e+00
 6.55000000e+00,        +7.071067811865e+00,        +5.448508331149e+00,        +1.006965529499e+00,        +1.045055720321e+00,        -2.476698911652e+00
 6.60000000e+00,        +7.071067811865e+00,        +5.448106566623e+00,        +9.745870537269e-01,        +1.012814655212e+00,        -2.501127854394e+00
 6.65000000e+00,        +7.071067811865e+00,        +5.446937704838e+00,        +9.423179718075e-01,        +9.800854638469e-01,        -2.525202020210e+00
 6.70000000e+00,        +7.071067811865e+00,        +5.444987902522e+00,        +9.101524201355e-01,        +9.468538712660e-01,        -2.548933046657e+00
 6.75000000e+00,        +7.071067811865e+00,        +5.442241746777e+00,        +8.780856765900e-01,        +9.131039541979e-01,        -2.572331330976e+00
 6.80000000e+00,        +7.071067811865e+00,        +5.438682229985e+00,        +8.461141885179e-01,        +8.788181193119e-01,        -2.595406002555e+00
 6.85000000e+00,        +7.071067811865e+00,        +5.434290716505e+00,        +8.142356107591e-01,        +8.439770731711e-01,        -2.618164885405e+00
 6.90000000e+00,        +7.071067811865e+00,        +5.429046901393e+00,        +7.824488544664e-01,        +8.085597841271e-01,        -2.640614449883e+00
 6.95000000e+00,        +7.071067811865e+00,        +5.422928761364e+00,        +7.507541476056e-01,        +7.725434363678e-01,        -2.662759752804e+00
 7.00000000e+00,        +7.071067811865e+00,        +5.415912498184e+00,        +7.191531081624e-01,        +7.359033763007e-01,        -2.684604364874e+00
