        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 4.20000000e+00,        +1.414213562373e-01,        +8.337489127958e-02,        +6.135208611713e-02,        +3.113104565444e-02,        -7.694384098227e-03
 4.25000000e+00,        +1.414213562373e-01,        +8.535663937621e-02,        +6.006392841018e-02,        +3.225262172006e-02,        -9.217972411153e-03
 4.30000000e+00,        +1.414213562373e-01,        +8.715890444843e-02,        +5.877284371630e-02,        +3.319729389146e-02,        -1.073229500820e-02
 4.35000000e+00,        +1.414213562373e-01,        +8.880088683684e-02,        +5.749001111633e-02,        +3.398443304027e-02,        -1.222634163597e-02
 4.40000000e+00,        +1.414213562373e-01,        +9.029995611865e-02,        +5.622345377623e-02,        +3.463157312372e-02,        -1.369225945255e-02
 4.45000000e+00,        +1.414213562373e-01,        +9.167166720121e-02,        +5.497875926614e-02,        +3.515442732566e-02,        -1.512463244887e-02
 4.50000000e+00,        +1.414213562373e-01,        +9.292985001201e-02,        +5.375965220595e-02,        +3.556697781390e-02,        -1.651990856210e-02
 4.55000000e+00,        +1.414213562373e-01,        +9.408673860757e-02,        +5.256844472420e-02,        +3.588160493074e-02,        -1.787594899326e-02
 4.60000000e+00,        +1.414213562373e-01,        +9.515311749258e-02,        +5.140638792584e-02,        +3.610923360419e-02,        -1.919167653239e-02
 4.65000000e+00,        +1.414213562373e-01,        +9.613847122906e-02,        +5.027394434266e-02,        +3.625948305678e-02,        -2.046680291581e-02
 4.70000000e+00,        +1.414213562373e-01,        +9.705112902157e-02,        +4.917099798101e-02,        +3.634081149559e-02,        -2.170161859961e-02
 4.75000000e+00,        +1.414213562373e-01,        +9.789839967187e-02,        +4.809701547184e-02,        +3.636065117575e-02,        -2.289683144299e-02
 4.80000000e+00,        +1.414213562373e-01,        +9.868669468955e-02,        +4.705116912715e-02,        +3.632553162261e-02,        -2.405344349616e-02
 4.85000000e+00,        +1.414213562373e-01,        +9.942163884499e-02,        +4.603243045064e-02,        +3.624119029816e-02,        -2.517265734427e-02
