        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 4.70000000e+00,        +1.496230144819e-11,        +2.673609179883e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.75000000e+00,        +1.454261899500e-11,        +2.593802103141e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.80000000e+00,        +1.416553186268e-11,        +2.519702540611e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.85000000e+00,        +1.382663073253e-11,        +2.450800912208e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.90000000e+00,        +1.352203013183e-11,        +2.386639835566e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.95000000e+00,        +1.324830350775e-11,        +2.326808849442e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +1.300242614886e-11,        +2.270939544312e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.05000000e+00,        +1.278172521837e-11,        +2.218701123006e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.10000000e+00,        +1.258383614149e-11,        +2.169796388718e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.15000000e+00,        +1.240666461265e-11,        +2.123958142246e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.20000000e+00,        +1.224835353810e-11,        +2.080945961725e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.25000000e+00,        +1.210725429017e-11,        +2.040543333882e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.30000000e+00,        +1.198190171555e-11,        +2.002555104557e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.35000000e+00,        +1.187099240342e-11,        +1.966805216742e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.40000000e+00,        +1.177336578057e-11,        +1.933134705902e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.45000000e+00,        +1.168798765576e-11,        +1.901399924528e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e+00,        +1.161393588556e-11,        +1.871470970254e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.55000000e+00,        +1.155038787795e-11,        +1.843230294358e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.60000000e+00,        +1.149660968896e-11,        +1.816571469859e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.65000000e+00,        +1.145194650115e-11,        +1.791398100745e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.70000000e+00,        +1.141581430216e-11,        +1.767622855909e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.75000000e+00,        +1.138769260694e-11,        +1.745166613375e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.80000000e+00,        +1.136711808897e-11,        +1.723957702039e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.85000000e+00,        +1.135367900452e-11,        +1.703931229766e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.90000000e+00,        +1.134701031051e-11,        +1.685028488027e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.95000000e+00,        +1.134678938981e-11,        +1.667196424478e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +1.135273231040e-11,        +1.650387175971e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.05000000e+00,        +1.136459055451e-11,        +1.634557655422e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.10000000e+00,        +1.138214816321e-11,        +1.619669186808e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.15000000e+00,        +1.140521924910e-11,        +1.605687183280e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.20000000e+00,        +1.143364583660e-11,        +1.592580864058e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.25000000e+00,        +1.146729599508e-11,        +1.580323006294e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.30000000e+00,        +1.150606223470e-11,        +1.568889728657e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.35000000e+00,        +1.154986013959e-11,        +1.558260303771e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.40000000e+00,        +1.159862721624e-11,        +1.548416997098e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.45000000e+00,        +1.165232193884e-11,        +1.539344930149e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e+00,        +1.171092297570e-11,        +1.531031966283e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.55000000e+00,        +1.177442858375e-11,        +1.523468617584e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.60000000e+00,        +1.184285616036e-11,        +1.516647971599e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.65000000e+00,        +1.191624194367e-11,        +1.510565636943e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.70000000e+00,        +1.199464085463e-11,        +1.505219707004e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.75000000e+00,        +1.207812647556e-11,        +1.500610741150e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.80000000e+00,        +1.216679116151e-11,        +1.496741763085e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.85000000e+00,        +1.226074628229e-11,        +1.493618276116e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.90000000e+00,        +1.236012259441e-11,        +1.491248295325e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.95000000e+00,        +1.246507074309e-11,        +1.489642396749e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +1.257576189620e-11,        +1.488813783884e-11,        +0.000000000000e+00,        +0.000000000000e+00
