        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 4.70000000e+00,        -6.589114554837e+00,        +1.320620143418e+02,        -1.047785347026e+01,        -3.084435422411e+01
 4.75000000e+00,        -6.769985791109e+00,        +1.321419237994e+02,        -1.034713178998e+01,        -3.219921848612e+01
 4.80000000e+00,        -6.946417707076e+00,        +1.322475902965e+02,        -1.022708071216e+01,        -3.351107464888e+01
 4.85000000e+00,        -7.118669766915e+00,        +1.323771398147e+02,        -1.011644738432e+01,        -3.478333896044e+01
 4.90000000e+00,        -7.286988412744e+00,        +1.325290023497e+02,        -1.001415430665e+01,        -3.601911715400e+01
 4.95000000e+00,        -7.451605821749e+00,        +1.327018744393e+02,        -9.919270067088e+00,        -3.722123615766e+01
 5.00000000e+00,        -7.612739135661e+00,        +1.328946864456e+02,        -9.830985683060e+00,        -3.839227283017e+01
 5.05000000e+00,        -7.770590036986e+00,        +1.331065740303e+02,        -9.748595341106e+00,        -3.953457985165e+01
 5.10000000e+00,        -7.925344574682e+00,        +1.333368533015e+02,        -9.671480614599e+00,        -4.065030895984e+01
 5.15000000e+00,        -8.077173164189e+00,        +1.335849991598e+02,        -9.599097453004e+00,        -4.174143174981e+01
 5.20000000e+00,        -8.226230704055e+00,        +1.338506264148e+02,        -9.530965395169e+00,        -4.280975826315e+01
 5.25000000e+00,        -8.372656764940e+00,        +1.341334732920e+02,        -9.466658578915e+00,        -4.385695358736e+01
 5.30000000e+00,        -8.516575817375e+00,        +1.344333869901e+02,        -9.405798210354e+00,        -4.488455267473e+01
 5.35000000e+00,        -8.658097472851e+00,        +1.347503109886e+02,        -9.348046226171e+00,        -4.589397357415e+01
 5.40000000e+00,        -8.797316719305e+00,        +1.350842738405e+02,        -9.293099936110e+00,        -4.688652925270e+01
 5.45000000e+00,        -8.934314137062e+00,        +1.354353792117e+02,        -9.240687474948e+00,        -4.786343816653e+01
 5.50000000e+00,        -9.069156085294e+00,        +1.358037969610e+02,        -9.190563926141e+00,        -4.882583372407e+01
 5.55000000e+00,        -9.201894852185e+00,        +1.361897550713e+02,        -9.142508005373e+00,        -4.977477276924e+01
